Index,Time(s),Original,Filtered
0,0.000000,0.000000,0.000000
1,0.000063,0.633869,0.000000
2,0.000125,0.692291,-0.000455
3,0.000188,0.304117,-0.001665
4,0.000250,0.137424,-0.003743
5,0.000312,0.569064,-0.006712
6,0.000375,1.214295,-0.010470
7,0.000438,1.397384,-0.014549
8,0.000500,0.982287,-0.017839
9,0.000562,0.537937,-0.018542
10,0.000625,0.634135,-0.014403
11,0.000687,1.137427,-0.003020
12,0.000750,1.376307,0.017969
13,0.000813,0.971772,0.050773
14,0.000875,0.307758,0.097190
15,0.000937,0.060559,0.158150
16,0.001000,0.368124,0.233259
17,0.001063,0.664727,0.320628
18,0.001125,0.384965,0.417045
19,0.001187,-0.332242,0.518279
20,0.001250,-0.809017,0.619312
21,0.001312,-0.659272,0.714534
22,0.001375,-0.259354,0.798101
23,0.001438,-0.277691,0.864514
24,0.001500,-0.844328,0.909208
25,0.001563,-1.385819,0.928882
26,0.001625,-1.329470,0.921509
27,0.001688,-0.807548,0.886259
28,0.001750,-0.492115,0.823518
29,0.001812,-0.764450,0.734967
30,0.001875,-1.244560,0.623501
31,0.001937,-1.261624,0.492899
32,0.002000,-0.684547,0.347423
33,0.002062,-0.087083,0.191600
34,0.002125,-0.043595,0.029810
35,0.002188,-0.424786,-0.133067
36,0.002250,-0.562791,-0.291874
37,0.002313,-0.081606,-0.441705
38,0.002375,0.632543,-0.578274
39,0.002438,0.901879,-0.697820
40,0.002500,0.587785,-0.796846
41,0.002563,0.256187,-0.872141
42,0.002625,0.473527,-0.921201
43,0.002688,1.102746,-0.942627
44,0.002750,1.468583,-0.936087
45,0.002813,1.188258,-0.901953
46,0.002875,0.642008,-0.841066
47,0.002937,0.502617,-0.754931
48,0.003000,0.904827,-0.646051
49,0.003062,1.280090,-0.517931
50,0.003125,1.060661,-0.374648
51,0.003187,0.383664,-0.220407
52,0.003250,-0.074221,-0.059494
53,0.003312,0.072530,0.103473
54,0.003375,0.447662,0.263468
55,0.003437,0.383480,0.415416
56,0.003500,-0.248692,0.554731
57,0.003563,-0.873454,0.677525
58,0.003625,-0.915638,0.780403
59,0.003688,-0.504572,0.860240
60,0.003750,-0.309017,0.914349
61,0.003813,-0.706685,0.940945
62,0.003875,-1.313847,0.939410
63,0.003938,-1.455900,0.910098
64,0.004000,-0.998027,0.853943
65,0.004062,-0.510431,0.772357
66,0.004125,-0.564201,0.667508
67,0.004188,-1.027150,0.542579
68,0.004250,-1.228968,0.401600
69,0.004312,-0.791761,0.248944
70,0.004375,-0.100438,0.088982
71,0.004438,0.167900,-0.073830
72,0.004500,-0.125332,-0.234705
73,0.004562,-0.414834,-0.388590
74,0.004625,-0.135409,-0.530641
75,0.004688,0.574029,-0.656688
76,0.004750,1.035826,-0.763287
77,0.004812,0.864355,-0.847437
78,0.004875,0.436602,-0.906457
79,0.004938,0.421827,-0.938282
80,0.005000,0.951057,-0.941902
81,0.005063,1.451964,-0.917471
82,0.005125,1.353060,-0.865978
83,0.005187,0.787884,-0.788895
84,0.005250,0.429776,-0.688209
85,0.005313,0.661299,-0.566745
86,0.005375,1.103666,-0.428294
87,0.005437,1.087183,-0.277287
88,0.005500,0.481756,-0.118285
89,0.005563,-0.138023,0.044241
90,0.005625,-0.197118,0.205710
91,0.005687,0.175634,0.361254
92,0.005750,0.312619,0.505930
93,0.005813,-0.162136,0.635256
94,0.005875,-0.862592,0.745555
95,0.005937,-1.111388,0.833850
96,0.006000,-0.770514,0.897574
97,0.006063,-0.406691,0.934567
98,0.006125,-0.587327,0.943465
99,0.006187,-1.176452,0.924066
100,0.006250,-1.500000,0.877256
101,0.006313,-1.176450,0.804602
102,0.006375,-0.587328,0.708095
103,0.006438,-0.406692,0.590299
104,0.006500,-0.770516,0.454663
105,0.006562,-1.111389,0.305485
106,0.006625,-0.862597,0.147472
107,0.006688,-0.162133,-0.014734
108,0.006750,0.312619,-0.176609
109,0.006812,0.175634,-0.333507
110,0.006875,-0.197119,-0.480581
111,0.006938,-0.138020,-0.613143
112,0.007000,0.481758,-0.727183
113,0.007062,1.087181,-0.819567
114,0.007125,1.103665,-0.887804
115,0.007188,0.661297,-0.929801
116,0.007250,0.429776,-0.943999
117,0.007312,0.787878,-0.929801
118,0.007375,1.353059,-0.887804
119,0.007438,1.451963,-0.819567
120,0.007500,0.951055,-0.727183
121,0.007562,0.421827,-0.613143
122,0.007625,0.436599,-0.480581
123,0.007688,0.864354,-0.333507
124,0.007750,1.035827,-0.176609
125,0.007812,0.574022,-0.014734
126,0.007875,-0.135415,0.147471
127,0.007938,-0.414831,0.305485
128,0.008000,-0.125334,0.454662
129,0.008062,0.167899,0.590299
130,0.008125,-0.100434,0.708094
131,0.008187,-0.791759,0.804601
132,0.008250,-1.228968,0.877255
133,0.008313,-1.027149,0.924065
134,0.008375,-0.564199,0.943464
135,0.008438,-0.510432,0.934565
136,0.008500,-0.998033,0.897572
137,0.008562,-1.455901,0.833848
138,0.008625,-1.313846,0.745553
139,0.008687,-0.706690,0.635254
140,0.008750,-0.309017,0.505928
141,0.008813,-0.504569,0.361252
142,0.008875,-0.915637,0.205709
143,0.008938,-0.873452,0.044240
144,0.009000,-0.248695,-0.118285
145,0.009062,0.383480,-0.277288
146,0.009125,0.447661,-0.428294
147,0.009187,0.072530,-0.566745
148,0.009250,-0.074220,-0.688209
149,0.009313,0.383668,-0.788895
150,0.009375,1.060665,-0.865978
151,0.009437,1.280091,-0.917471
152,0.009500,0.904832,-0.941902
153,0.009562,0.502619,-0.938282
154,0.009625,0.642007,-0.906458
155,0.009688,1.188259,-0.847437
156,0.009750,1.468583,-0.763287
157,0.009813,1.102742,-0.656689
158,0.009875,0.473523,-0.530641
159,0.009937,0.256187,-0.388590
160,0.010000,0.587786,-0.234705
161,0.010062,0.901881,-0.073830
162,0.010125,0.632542,0.088983
163,0.010188,-0.081613,0.248945
164,0.010250,-0.562791,0.401602
165,0.010313,-0.424787,0.542581
166,0.010375,-0.043596,0.667510
167,0.010437,-0.087081,0.772359
168,0.010500,-0.684546,0.853945
169,0.010562,-1.261624,0.910099
170,0.010625,-1.244559,0.939411
171,0.010688,-0.764449,0.940945
172,0.010750,-0.492115,0.914349
173,0.010812,-0.807547,0.860239
174,0.010875,-1.329471,0.780402
175,0.010937,-1.385821,0.677524
176,0.011000,-0.844332,0.554729
177,0.011063,-0.277692,0.415414
178,0.011125,-0.259353,0.263467
179,0.011188,-0.659273,0.103472
180,0.011250,-0.809016,-0.059495
181,0.011312,-0.332247,-0.220408
182,0.011375,0.384963,-0.374648
183,0.011437,0.664727,-0.517931
184,0.011500,0.368122,-0.646051
185,0.011563,0.060558,-0.754930
186,0.011625,0.307762,-0.841066
187,0.011688,0.971780,-0.901953
188,0.011750,1.376306,-0.936087
189,0.011812,1.137432,-0.942627
190,0.011875,0.634137,-0.921202
191,0.011937,0.537936,-0.872142
192,0.012000,0.982287,-0.796847
193,0.012063,1.397384,-0.697821
194,0.012125,1.214293,-0.578275
195,0.012187,0.569067,-0.441706
196,0.012250,0.137425,-0.291875
197,0.012312,0.304120,-0.133068
198,0.012375,0.692293,0.029810
199,0.012438,0.633868,0.191600
200,0.012500,0.000003,0.347423
201,0.012563,-0.633871,0.492899
202,0.012625,-0.692291,0.623958
203,0.012687,-0.304121,0.736634
204,0.012750,-0.137423,0.827263
205,0.012812,-0.569062,0.892973
206,0.012875,-1.214297,0.931981
207,0.012938,-1.397383,0.943432
208,0.013000,-0.982283,0.927049
209,0.013063,-0.537935,0.883057
210,0.013125,-0.634135,0.812504
211,0.013187,-1.137421,0.717555
212,0.013250,-1.376307,0.601344
213,0.013312,-0.971775,0.467507
214,0.013375,-0.307758,0.319855
215,0.013438,-0.060558,0.162478
216,0.013500,-0.368127,0.000000
217,0.013562,-0.664727,-0.162477
218,0.013625,-0.384967,-0.319855
219,0.013687,0.332244,-0.467506
220,0.013750,0.809017,-0.601343
221,0.013813,0.659268,-0.717553
222,0.013875,0.259352,-0.812503
223,0.013938,0.277695,-0.883054
224,0.014000,0.844336,-0.927046
225,0.014062,1.385817,-0.943430
226,0.014125,1.329473,-0.931978
227,0.014187,0.807550,-0.892970
228,0.014250,0.492115,-0.827261
229,0.014313,0.764452,-0.736632
230,0.014375,1.244562,-0.623957
231,0.014438,1.261622,-0.492899
232,0.014500,0.684558,-0.347423
233,0.014562,0.087086,-0.191601
234,0.014625,0.043591,-0.029811
235,0.014687,0.424785,0.133067
236,0.014750,0.562789,0.291874
237,0.014813,0.081608,0.441705
238,0.014875,-0.632545,0.578274
239,0.014937,-0.901877,0.697821
240,0.015000,-0.587779,0.796848
241,0.015062,-0.256191,0.872143
242,0.015125,-0.473522,0.921203
243,0.015188,-1.102739,0.942628
244,0.015250,-1.468584,0.936089
245,0.015313,-1.188262,0.901955
246,0.015375,-0.642009,0.841068
247,0.015437,-0.502618,0.754932
248,0.015500,-0.904830,0.646052
249,0.015562,-1.280090,0.517932
250,0.015625,-1.060656,0.374649
251,0.015687,-0.383671,0.220408
252,0.015750,0.074223,0.059495
253,0.015812,-0.072529,-0.103473
254,0.015875,-0.447670,-0.263467
255,0.015937,-0.383481,-0.415415
256,0.016000,0.248693,-0.554729
257,0.016062,0.873453,-0.677524
258,0.016125,0.915643,-0.780402
259,0.016188,0.504566,-0.860239
260,0.016250,0.309017,-0.914348
261,0.016313,0.706695,-0.940944
262,0.016375,1.313843,-0.939410
263,0.016438,1.455896,-0.910098
264,0.016500,0.998028,-0.853944
265,0.016562,0.510436,-0.772358
266,0.016625,0.564202,-0.667509
267,0.016687,1.027140,-0.542581
268,0.016750,1.228969,-0.401601
269,0.016812,0.791771,-0.248945
270,0.016875,0.100429,-0.088983
271,0.016937,-0.167902,0.073830
272,0.017000,0.125341,0.234704
273,0.017063,0.414833,0.388590
274,0.017125,0.135412,0.530641
275,0.017188,-0.574028,0.656688
276,0.017250,-1.035827,0.763287
277,0.017313,-0.864352,0.847437
278,0.017375,-0.436607,0.906457
279,0.017438,-0.421830,0.938282
280,0.017500,-0.951051,0.941902
281,0.017562,-1.451962,0.917471
282,0.017625,-1.353061,0.865978
283,0.017687,-0.787882,0.788895
284,0.017750,-0.429776,0.688209
285,0.017812,-0.661301,0.566745
286,0.017875,-1.103666,0.428294
287,0.017938,-1.087181,0.277288
288,0.018000,-0.481763,0.118285
289,0.018063,0.138026,-0.044240
290,0.018125,0.197121,-0.205710
291,0.018188,-0.175630,-0.361253
292,0.018250,-0.312621,-0.505929
293,0.018313,0.162135,-0.635255
294,0.018375,0.862597,-0.745554
295,0.018437,1.111391,-0.833850
296,0.018500,0.770508,-0.897573
297,0.018562,0.406693,-0.934566
298,0.018625,0.587334,-0.943465
299,0.018687,1.176447,-0.924066
300,0.018750,1.500000,-0.877256
301,0.018812,1.176452,-0.804602
302,0.018875,0.587339,-0.708095
303,0.018938,0.406693,-0.590299
304,0.019000,0.770503,-0.454662
305,0.019063,1.111389,-0.305485
306,0.019125,0.862600,-0.147471
307,0.019188,0.162121,0.014735
308,0.019250,-0.312617,0.176610
309,0.019312,-0.175635,0.333508
310,0.019375,0.197117,0.480582
311,0.019437,0.138022,0.613144
312,0.019500,-0.481759,0.727184
313,0.019562,-1.087177,0.819568
314,0.019625,-1.103661,0.887805
315,0.019687,-0.661306,0.929802
316,0.019750,-0.429778,0.944000
317,0.019813,-0.787877,0.929802
318,0.019875,-1.353058,0.887804
319,0.019938,-1.451964,0.819566
320,0.020000,-0.951056,0.727183
321,0.020063,-0.421824,0.613142
322,0.020125,-0.436606,0.480580
323,0.020188,-0.864359,0.333506
324,0.020250,-1.035827,0.176608
325,0.020312,-0.574032,0.014733
326,0.020375,0.135419,-0.147472
327,0.020437,0.414832,-0.305486
328,0.020500,0.125335,-0.454663
329,0.020562,-0.167900,-0.590299
330,0.020625,0.100440,-0.708094
331,0.020688,0.791766,-0.804601
332,0.020750,1.228966,-0.877255
333,0.020813,1.027142,-0.924065
334,0.020875,0.564205,-0.943465
335,0.020938,0.510435,-0.934566
336,0.021000,0.998023,-0.897573
337,0.021063,1.455906,-0.833850
338,0.021125,1.313847,-0.745555
339,0.021187,0.706699,-0.635255
340,0.021250,0.309016,-0.505930
341,0.021312,0.504561,-0.361253
342,0.021375,0.915639,-0.205710
343,0.021437,0.873458,-0.044240
344,0.021500,0.248679,0.118285
345,0.021562,-0.383480,0.277288
346,0.021625,-0.447659,0.428295
347,0.021688,-0.072530,0.566746
348,0.021750,0.074223,0.688210
349,0.021813,-0.383667,0.788896
350,0.021875,-1.060653,0.865979
351,0.021938,-1.280089,0.917472
352,0.022000,-0.904833,0.941903
353,0.022062,-0.502619,0.938283
354,0.022125,-0.642006,0.906458
355,0.022187,-1.188257,0.847438
356,0.022250,-1.468583,0.763287
357,0.022312,-1.102745,0.656688
358,0.022375,-0.473525,0.530640
359,0.022437,-0.256189,0.388589
360,0.022500,-0.587790,0.234704
361,0.022563,-0.901881,0.073830
362,0.022625,-0.632551,-0.088982
363,0.022688,0.081604,-0.248944
364,0.022750,0.562789,-0.401600
365,0.022813,0.424789,-0.542579
366,0.022875,0.043595,-0.667508
367,0.022938,0.087087,-0.772357
368,0.023000,0.684551,-0.853943
369,0.023062,1.261620,-0.910097
370,0.023125,1.244555,-0.939409
371,0.023187,0.764456,-0.940945
372,0.023250,0.492115,-0.914349
373,0.023312,0.807546,-0.860240
374,0.023375,1.329479,-0.780404
375,0.023438,1.385819,-0.677526
376,0.023500,0.844343,-0.554732
377,0.023563,0.277690,-0.415417
378,0.023625,0.259346,-0.263470
379,0.023688,0.659274,-0.103475
380,0.023750,0.809017,0.059493
381,0.023813,0.332230,0.220406
382,0.023875,-0.384960,0.374647
383,0.023937,-0.664729,0.517931
384,0.024000,-0.368128,0.646051
385,0.024062,-0.060563,0.754931
386,0.024125,-0.307763,0.841067
387,0.024187,-0.971762,0.901955
388,0.024250,-1.376307,0.936089
389,0.024312,-1.137434,0.942628
390,0.024375,-0.634138,0.921203
391,0.024438,-0.537936,0.872143
392,0.024500,-0.982287,0.796848
393,0.024563,-1.397384,0.697821
394,0.024625,-1.214296,0.578274
395,0.024688,-0.569062,0.441705
396,0.024750,-0.137423,0.291873
397,0.024813,-0.304120,0.133066
398,0.024875,-0.692298,-0.029812
399,0.024937,-0.633876,-0.191602
400,0.025000,-0.000006,-0.347425
401,0.025062,0.633869,-0.492900
402,0.025125,0.692294,-0.623958
403,0.025187,0.304114,-0.736633
404,0.025250,0.137425,-0.827263
405,0.025313,0.569067,-0.892972
406,0.025375,1.214289,-0.931979
407,0.025438,1.397382,-0.943431
408,0.025500,0.982292,-0.927048
409,0.025563,0.537932,-0.883056
410,0.025625,0.634134,-0.812505
411,0.025688,1.137441,-0.717556
412,0.025750,1.376306,-0.601345
413,0.025812,0.971785,-0.467508
414,0.025875,0.307755,-0.319857
415,0.025937,0.060559,-0.162480
416,0.026000,0.368134,-0.000002
417,0.026062,0.664723,0.162475
418,0.026125,0.384951,0.319853
419,0.026187,-0.332241,0.467505
420,0.026250,-0.809012,0.601342
421,0.026313,-0.659269,0.717554
422,0.026375,-0.259363,0.812504
423,0.026438,-0.277696,0.883056
424,0.026500,-0.844319,0.927049
425,0.026563,-1.385823,0.943433
426,0.026625,-1.329473,0.931981
427,0.026687,-0.807552,0.892974
428,0.026750,-0.492114,0.827264
429,0.026812,-0.764451,0.736635
430,0.026875,-1.244560,0.623959
431,0.026937,-1.261625,0.492900
432,0.027000,-0.684543,0.347424
433,0.027062,-0.087078,0.191601
434,0.027125,-0.043591,0.029810
435,0.027188,-0.424781,-0.133068
436,0.027250,-0.562794,-0.291875
437,0.027313,-0.081610,-0.441707
438,0.027375,0.632546,-0.578275
439,0.027438,0.901883,-0.697822
440,0.027500,0.587783,-0.796848
441,0.027563,0.256187,-0.872143
442,0.027625,0.473531,-0.921202
443,0.027687,1.102753,-0.942627
444,0.027750,1.468584,-0.936088
445,0.027812,1.188249,-0.901953
446,0.027875,0.641999,-0.841065
447,0.027937,0.502612,-0.754930
448,0.028000,0.904843,-0.646050
449,0.028063,1.280082,-0.517929
450,0.028125,1.060669,-0.374646
451,0.028188,0.383671,-0.220405
452,0.028250,-0.074218,-0.059492
453,0.028313,0.072525,0.103475
454,0.028375,0.447663,0.263469
455,0.028438,0.383483,0.415417
456,0.028500,-0.248690,0.554731
457,0.028562,-0.873451,0.677525
458,0.028625,-0.915635,0.780403
459,0.028687,-0.504564,0.860240
460,0.028750,-0.309016,0.914349
461,0.028812,-0.706693,0.940944
462,0.028875,-1.313854,0.939410
463,0.028937,-1.455897,0.910098
464,0.029000,-0.998045,0.853944
465,0.029063,-0.510425,0.772358
466,0.029125,-0.564190,0.667509
467,0.029188,-1.027163,0.542581
468,0.029250,-1.228970,0.401602
469,0.029313,-0.791742,0.248946
470,0.029375,-0.100446,0.088984
471,0.029437,0.167902,-0.073828
472,0.029500,-0.125326,-0.234703
473,0.029562,-0.414834,-0.388589
474,0.029625,-0.135410,-0.530640
475,0.029687,0.574022,-0.656688
476,0.029750,1.035826,-0.763287
477,0.029812,0.864353,-0.847438
478,0.029875,0.436597,-0.906459
479,0.029938,0.421829,-0.938283
480,0.030000,0.951064,-0.941904
481,0.030063,1.451967,-0.917472
482,0.030125,1.353073,-0.865979
483,0.030188,0.787868,-0.788895
484,0.030250,0.429777,-0.688209
485,0.030313,0.661312,-0.566744
486,0.030375,1.103657,-0.428293
487,0.030437,1.087186,-0.277287
488,0.030500,0.481759,-0.118284
489,0.030562,-0.138019,0.044241
490,0.030625,-0.197125,0.205710
491,0.030687,0.175634,0.361253
492,0.030750,0.312618,0.505929
493,0.030813,-0.162136,0.635255
494,0.030875,-0.862594,0.745555
495,0.030938,-1.111388,0.833851
496,0.031000,-0.770507,0.897575
497,0.031063,-0.406689,0.934568
498,0.031125,-0.587334,0.943467
499,0.031188,-1.176461,0.924068
500,0.031250,-1.500000,0.877257
